date,pressure_hpa,pressure_change_hpa,year,month,day,day_of_year,location,lat,lon,elevation_m,data_type
1990-01-26,918.4,5.3,1990,1,26,26,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-01-27,906.0,-12.4,1990,1,27,27,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-01-28,904.1,-1.9,1990,1,28,28,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-01-29,912.9,8.9,1990,1,29,29,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-01-30,902.9,-10.0,1990,1,30,30,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-01-31,910.1,7.1,1990,1,31,31,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-02-01,907.1,-3.0,1990,2,1,32,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-02-02,901.9,-5.2,1990,2,2,33,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-02-03,903.8,1.8,1990,2,3,34,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-02-04,905.4,1.6,1990,2,4,35,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-02-05,904.2,-1.2,1990,2,5,36,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-02-06,904.5,0.3,1990,2,6,37,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-02-07,907.3,2.8,1990,2,7,38,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-02-08,911.8,4.4,1990,2,8,39,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-02-09,905.1,-6.7,1990,2,9,40,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-02-10,907.6,2.5,1990,2,10,41,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-02-11,903.9,-3.7,1990,2,11,42,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-02-12,909.0,5.1,1990,2,12,43,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-02-13,899.3,-9.6,1990,2,13,44,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-02-14,912.1,12.7,1990,2,14,45,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-02-15,912.0,-0.1,1990,2,15,46,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-02-16,895.8,-16.2,1990,2,16,47,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-02-17,909.3,13.5,1990,2,17,48,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-02-18,900.3,-9.0,1990,2,18,49,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-02-19,912.6,12.3,1990,2,19,50,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-02-20,908.8,-3.7,1990,2,20,51,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-02-21,898.6,-10.3,1990,2,21,52,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-02-22,906.0,7.4,1990,2,22,53,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-02-23,908.5,2.6,1990,2,23,54,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-02-24,905.8,-2.7,1990,2,24,55,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-02-25,906.2,0.4,1990,2,25,56,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-02-26,893.5,-12.7,1990,2,26,57,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-02-27,900.8,7.3,1990,2,27,58,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-02-28,908.0,7.2,1990,2,28,59,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-03-01,899.5,-8.5,1990,3,1,60,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-03-02,906.3,6.8,1990,3,2,61,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-03-03,908.8,2.5,1990,3,3,62,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-03-04,908.5,-0.4,1990,3,4,63,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-03-05,902.8,-5.7,1990,3,5,64,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-03-06,896.9,-5.9,1990,3,6,65,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-03-07,884.0,-12.9,1990,3,7,66,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-03-08,880.0,-4.0,1990,3,8,67,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-03-09,907.3,27.3,1990,3,9,68,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-03-10,901.4,-5.9,1990,3,10,69,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-03-11,907.5,6.1,1990,3,11,70,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-03-12,907.1,-0.4,1990,3,12,71,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-03-13,903.9,-3.2,1990,3,13,72,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-03-14,908.7,4.8,1990,3,14,73,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-03-15,903.6,-5.1,1990,3,15,74,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-03-16,907.8,4.2,1990,3,16,75,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-03-17,900.2,-7.6,1990,3,17,76,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-03-18,910.3,10.1,1990,3,18,77,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-03-19,903.1,-7.2,1990,3,19,78,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-03-20,897.2,-5.9,1990,3,20,79,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-03-21,880.0,-17.2,1990,3,21,80,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-03-22,895.7,15.7,1990,3,22,81,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-03-23,894.7,-1.0,1990,3,23,82,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-03-24,910.4,15.8,1990,3,24,83,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-03-25,903.2,-7.2,1990,3,25,84,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-03-26,914.4,11.2,1990,3,26,85,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-03-27,911.6,-2.8,1990,3,27,86,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-03-28,907.6,-4.1,1990,3,28,87,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-03-29,918.7,11.2,1990,3,29,88,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-03-30,904.7,-14.0,1990,3,30,89,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-03-31,906.4,1.7,1990,3,31,90,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-04-01,910.8,4.4,1990,4,1,91,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-04-02,903.9,-6.9,1990,4,2,92,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-04-03,912.4,8.5,1990,4,3,93,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-04-04,906.9,-5.5,1990,4,4,94,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-04-05,903.9,-3.0,1990,4,5,95,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-04-06,905.4,1.6,1990,4,6,96,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-04-07,900.2,-5.2,1990,4,7,97,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-04-08,908.9,8.7,1990,4,8,98,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-04-09,901.6,-7.3,1990,4,9,99,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-04-10,913.0,11.4,1990,4,10,100,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-04-11,900.1,-12.8,1990,4,11,101,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-04-12,901.4,1.2,1990,4,12,102,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-04-13,897.9,-3.5,1990,4,13,103,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-04-14,911.4,13.5,1990,4,14,104,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-04-15,898.4,-13.1,1990,4,15,105,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-04-16,880.0,-18.4,1990,4,16,106,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-04-17,902.4,22.4,1990,4,17,107,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-04-18,897.1,-5.3,1990,4,18,108,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-04-19,896.3,-0.8,1990,4,19,109,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-04-20,897.6,1.3,1990,4,20,110,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-04-21,906.7,9.1,1990,4,21,111,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-04-22,897.2,-9.4,1990,4,22,112,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-04-23,904.2,7.0,1990,4,23,113,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-04-24,904.1,-0.1,1990,4,24,114,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-04-25,922.4,18.3,1990,4,25,115,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-04-26,898.3,-24.1,1990,4,26,116,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-04-27,909.3,11.0,1990,4,27,117,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-04-28,905.0,-4.3,1990,4,28,118,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-04-29,903.5,-1.6,1990,4,29,119,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-04-30,902.9,-0.6,1990,4,30,120,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-05-01,889.0,-13.9,1990,5,1,121,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-05-02,908.2,19.2,1990,5,2,122,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-05-03,902.3,-5.9,1990,5,3,123,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-05-04,906.0,3.6,1990,5,4,124,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-05-05,901.9,-4.1,1990,5,5,125,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-05-06,903.4,1.5,1990,5,6,126,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-05-07,904.7,1.3,1990,5,7,127,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-05-08,896.5,-8.2,1990,5,8,128,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-05-09,888.6,-7.9,1990,5,9,129,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-05-10,921.2,32.6,1990,5,10,130,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-05-11,900.2,-21.0,1990,5,11,131,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-05-12,894.4,-5.8,1990,5,12,132,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-05-13,901.9,7.5,1990,5,13,133,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-05-14,890.7,-11.2,1990,5,14,134,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-05-15,899.4,8.7,1990,5,15,135,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-05-16,898.3,-1.1,1990,5,16,136,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-05-17,905.4,7.1,1990,5,17,137,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-05-18,902.9,-2.5,1990,5,18,138,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-05-19,909.0,6.1,1990,5,19,139,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-05-20,893.9,-15.1,1990,5,20,140,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-05-21,894.1,0.2,1990,5,21,141,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-05-22,898.6,4.5,1990,5,22,142,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-05-23,902.5,3.9,1990,5,23,143,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-05-24,894.8,-7.7,1990,5,24,144,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-05-25,891.0,-3.8,1990,5,25,145,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-05-26,896.3,5.3,1990,5,26,146,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-05-27,898.9,2.6,1990,5,27,147,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-05-28,891.9,-7.0,1990,5,28,148,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-05-29,885.1,-6.8,1990,5,29,149,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-05-30,892.8,7.7,1990,5,30,150,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-05-31,904.8,12.0,1990,5,31,151,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-06-01,898.7,-6.1,1990,6,1,152,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-06-02,890.2,-8.5,1990,6,2,153,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-06-03,899.7,9.5,1990,6,3,154,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-06-04,898.2,-1.5,1990,6,4,155,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-06-05,907.1,9.0,1990,6,5,156,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-06-06,902.0,-5.2,1990,6,6,157,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-06-07,880.0,-22.0,1990,6,7,158,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-06-08,905.4,25.4,1990,6,8,159,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-06-09,900.1,-5.3,1990,6,9,160,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-06-10,901.1,0.9,1990,6,10,161,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-06-11,895.9,-5.2,1990,6,11,162,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-06-12,901.5,5.5,1990,6,12,163,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-06-13,898.2,-3.3,1990,6,13,164,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-06-14,895.0,-3.1,1990,6,14,165,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-06-15,888.1,-7.0,1990,6,15,166,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-06-16,895.7,7.7,1990,6,16,167,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-06-17,895.9,0.2,1990,6,17,168,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-06-18,890.8,-5.2,1990,6,18,169,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-06-19,898.7,7.9,1990,6,19,170,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-06-20,881.4,-17.2,1990,6,20,171,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-06-21,893.8,12.4,1990,6,21,172,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-06-22,895.6,1.8,1990,6,22,173,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-06-23,890.9,-4.7,1990,6,23,174,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-06-24,892.6,1.6,1990,6,24,175,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-06-25,897.1,4.5,1990,6,25,176,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-06-26,899.1,2.0,1990,6,26,177,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-06-27,899.8,0.7,1990,6,27,178,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-06-28,888.4,-11.4,1990,6,28,179,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-06-29,889.0,0.6,1990,6,29,180,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-06-30,896.0,7.1,1990,6,30,181,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-07-01,900.7,4.7,1990,7,1,182,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-07-02,905.0,4.3,1990,7,2,183,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-07-03,891.3,-13.7,1990,7,3,184,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-07-04,904.2,12.9,1990,7,4,185,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-07-05,900.2,-4.0,1990,7,5,186,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-07-06,903.4,3.2,1990,7,6,187,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-07-07,898.5,-4.9,1990,7,7,188,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-07-08,900.4,1.9,1990,7,8,189,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-07-09,905.3,4.9,1990,7,9,190,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-07-10,892.5,-12.8,1990,7,10,191,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-07-11,893.3,0.8,1990,7,11,192,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-07-12,895.9,2.7,1990,7,12,193,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-07-13,891.5,-4.4,1990,7,13,194,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-07-14,892.8,1.3,1990,7,14,195,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-07-15,899.5,6.7,1990,7,15,196,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-07-16,887.3,-12.1,1990,7,16,197,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-07-17,898.4,11.1,1990,7,17,198,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-07-18,887.6,-10.9,1990,7,18,199,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-07-19,895.9,8.4,1990,7,19,200,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-07-20,895.4,-0.6,1990,7,20,201,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-07-21,889.6,-5.7,1990,7,21,202,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-07-22,900.7,11.1,1990,7,22,203,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-07-23,892.8,-7.9,1990,7,23,204,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-07-24,883.4,-9.5,1990,7,24,205,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-07-25,891.8,8.4,1990,7,25,206,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-07-26,897.6,5.9,1990,7,26,207,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-07-27,892.8,-4.9,1990,7,27,208,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
1990-07-28,901.6,8.9,1990,7,28,209,"Ankara, Turkey (representative)",39.93,32.86,938,Synthetic (ERA5-based climatology)
